"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,25,710,742
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,46,651,724,56,2
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,30,75,621,678,84,4,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,36,60,567,705,121,6,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,50,94,544,661,129,6,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,12,53,116,503,641,150,14,1,0,0,0,0,0,0,0
"7",0,0,0,0,1,0,2,0,0,2,0,1,5,21,63,141,478,563,182,40,1,0,0,0,0,0,0,0,0,0
"8",0,1,0,1,1,1,0,1,5,7,14,31,74,150,402,548,232,31,1,0,0,0,0,0,0,0,0,0,0,0
"9",1,2,2,2,3,3,9,14,25,49,71,160,361,479,249,63,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",7,7,4,9,19,25,40,50,90,141,323,438,244,83,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",25,35,42,34,53,63,103,163,244,341,240,117,34,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",70,84,86,102,114,131,196,248,257,140,57,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",132,142,170,182,177,202,190,175,72,41,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",238,209,209,218,196,177,129,71,41,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",313,272,214,213,180,137,99,51,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",286,274,243,230,187,122,86,47,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",207,231,231,216,199,180,125,71,26,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",124,135,177,158,195,206,201,151,97,39,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",71,73,82,92,107,152,189,247,237,165,64,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",15,28,28,27,48,73,90,145,250,334,302,120,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",7,6,8,9,19,20,31,56,98,158,296,407,266,100,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",3,0,4,7,1,8,8,8,21,48,87,150,381,483,215,68,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1,1,0,0,0,0,2,2,1,3,9,35,72,153,440,515,216,46,4,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,2,2,5,21,17,71,129,439,603,179,31,1,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,19,56,122,535,574,160,17,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,10,40,109,564,649,113,6,1,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,38,91,626,623,104,8,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,34,78,610,703,66,1,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,54,668,698,50,2
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,48,684,754
