"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",86,115,89,103,109,95,90,89,85,94,84,85,99,90,91,96
"2",95,83,97,121,83,96,89,85,97,94,97,110,81,90,102,80
"3",90,94,87,87,84,96,83,103,93,105,89,104,100,104,87,94
"4",87,103,107,96,95,96,87,87,98,83,119,87,88,94,85,88
"5",93,96,104,99,89,76,102,95,93,101,100,82,80,87,104,99
"6",85,84,82,92,94,110,91,90,95,86,94,104,105,109,94,85
"7",85,105,94,90,83,103,87,105,88,84,97,86,114,106,79,94
"8",102,98,99,97,90,100,102,82,99,99,90,103,84,61,105,89
"9",95,80,87,93,115,94,97,94,86,89,103,88,92,79,107,101
"10",92,89,83,90,93,94,99,93,101,107,97,89,75,98,91,109
"11",105,106,94,93,99,99,84,90,107,87,80,84,91,99,88,94
"12",94,95,93,81,70,92,116,83,104,75,101,110,113,90,87,96
"13",104,81,124,88,94,78,99,108,99,94,82,94,90,100,92,73
"14",96,107,85,92,85,82,92,103,90,116,82,83,96,99,101,91
"15",83,80,98,94,107,87,101,100,77,100,103,98,94,98,89,91
"16",108,84,77,84,110,102,81,93,88,86,82,93,98,96,98,120
